01.01.2020;01.01.2022;Kryuchkov Nikita;Male;28.06.2000;2020 678453;Ethernet;500
01.05.2018;01.01.2021;Popova Elena;Female;20.04.2000;2020 897198;Ethernet;500
15.09.2015;15.09.2021;Vasiliev Dmitriy;Male;18.03.1996;2016 896412;TV;First Channel, TNT, STS, Disney, Russia, TV3, MusicTV, Karusel, Nikelodion, Kids
20.06.2020;20.06.2025;Popova Alina;Female;06.01.1997;2017 192421;TV;First Channel, TNT, STS, Disney, Russia, TV3, MusicTV, Karusel, Nikelodion, Kids
10.02.2019;01.01.2023;Konchakova Maria;Female;23.11.2001;2015 429421;Mobile;100, 500, 10
01.07.2018;01.12.2022;Yakushikhin Vladiskav;Male;09.12.2000;2020 876187;TV;First Channel, TNT, STS, Russia, TV3, Karusel, Kids
15.08.2017;15.08.2018;Minalova Daria;Female;11.09.2000;2020 896786;Mobile;50, 100, 25
30.09.2016;30.09.2019;Kartashov Vyacheslav;Male;09.08.2000;2020 875213;Ethernet;200
01.06.2020;01.08.2020;Rodionov Alexey;Male;19.05.2000;2020 874298;Mobile;50, 150, 50
02.02.2017;01.01.2022;Gadzhimuradov Andrey;Male;26.12.2000;2020 564860;TV;First Channel, Russia, TV3
